id,valueType,timestamp,deviceType,value,deviceName,reading,baseType,metadata
reading-475833,Float64,1777005358632301056,,25.000000,energy-meter-001                                                ,Energy,,
reading-104638,Float64,1777005359769390080,,526.560000,energy-meter-001                                                ,Energy,,
reading-387503,Float64,1777005368537333248,,364.870000,energy-meter-001                                                ,Energy,,
reading-625825,Float64,1777005370725298688,,300.140000,energy-meter-001                                                ,Energy,,
reading-789517,Float64,1777005381827503616,,4341.718128,energy-meter-001                                                ,Energy,,
reading-797612,Float64,1777005385593526528,,408.320000,energy-meter-001                                                ,Energy,,
reading-1777005358893235,Float64,1777005358893236224,,47.170000,energy-sensor-001                                               ,energy,,
reading-1777005370883982,Float64,1777005370883984640,,60.720000,energy-sensor-001                                               ,energy,,
reading-1777005381378836,Float64,1777005381378838528,,38.220000,energy-sensor-001                                               ,energy,,
reading-1777005422322571,Float64,1777005422322572288,,83.810000,energy-sensor-001                                               ,energy,,
reading-1777005426269163,Float64,1777005426269164544,,55.470000,energy-sensor-001                                               ,energy,,
reading-1777005435574703,Float64,1777005435574705920,,83.840000,energy-sensor-001                                               ,energy,,
reading-1777005438709273,Float64,1777005438709275392,,26.520000,energy-sensor-001                                               ,energy,,
reading-1777005449998524,Float64,1777005449998525696,,0.590000,energy-sensor-001                                               ,energy,,
reading-1777005457002729,Float64,1777005457002731520,,47.280000,energy-sensor-001                                               ,energy,,
reading-1777005457305457,Float64,1777005457305458176,,34.370000,energy-sensor-001                                               ,energy,,
reading-1777005463486915,Float64,1777005463486917376,,343.700000,energy-sensor-001                                               ,energy,,
reading-1777005480744269,Float64,1777005480744271616,,21.490000,energy-sensor-001                                               ,energy,,
reading-1777005482969808,Float64,1777005482969811200,,85.770000,energy-sensor-001                                               ,energy,,
reading-1777005492671206,Float64,1777005492671207168,,200.000000,energy-sensor-001                                               ,energy,,
reading-1777005502256375,Float64,1777005502256377344,,16.180000,energy-sensor-001                                               ,energy,,
reading-1777005550264497,Float64,1777005550264498688,,59.920000,energy-sensor-001                                               ,energy,,
reading-1777005559721160,Float64,1777005559721161728,,53.930000,energy-sensor-001                                               ,energy,,
reading-1777005574860430,Float64,1777005574860431104,,68.410000,energy-sensor-001                                               ,energy,,
reading-1777005575263299,Float64,1777005575263301120,,79.540000,energy-sensor-001                                               ,energy,,
reading-1777005599893353,Float64,1777005599893353984,,74.940000,energy-sensor-001                                               ,energy,,
reading-1777005605382044,Float64,1777005605382045696,,20.210000,energy-sensor-001                                               ,energy,,
reading-1777005614234295,Float64,1777005614234296064,,49.490000,energy-sensor-001                                               ,energy,,
